method,metric,mean,std,n,unit,availability
proposed,return,5.560839117587204,0.0,1,scaled_reward,available
proposed,profit_gbp,1770.3637153303566,0.0,1,GBP,available
proposed,welfare_gbp,1770.3637153303566,0.0,1,GBP_weighted_hub_profit,available
proposed,weighted_hub_profit_welfare,1770.3637153303566,0.0,1,GBP_weighted_hub_profit,available
proposed,profit,1770.3637153303566,0.0,1,GBP,available
proposed,served_requests,328.475877562108,0.0,1,requests,available
proposed,outside_requests,52.03537370565108,0.0,1,requests,available
proposed,outside_share,0.13592292585651877,0.0,1,fraction,available
proposed,mean_wait_min,42.62384051590621,0.0,1,min,available
proposed,p95_wait_min,90.5089461191109,0.0,1,min,available
proposed,max_wait_min,197.39043657863357,0.0,1,min,available
proposed,wait_violation_rate,0.22916666666666666,0.0,1,fraction_of_hub_periods,available
proposed,mean_wait_excess_min,34.2947209608329,0.0,1,min,available
proposed,wait_violation,10.11899836309697,0.0,1,hub_hours,available
proposed,unmet_energy_kwh,0.0,0.0,1,kWh,available
proposed,unmet,0.0,0.0,1,kWh,available
proposed,pending_requests,449.4846472482495,0.0,1,requests,available
proposed,admitted_requests,328.47587756210794,0.0,1,requests,available
proposed,admission_ratio,0.7307833083355378,0.0,1,fraction,available
proposed,minimum_admission_ratio,0.23310889401156837,0.0,1,fraction,available
proposed,peak_admission_pressure,4.289840609643893,0.0,1,pending_over_capacity,available
proposed,admitted_full_service_ratio,1.0000000000000002,0.0,1,fraction,available
proposed,pending_full_service_ratio,0.730783308335538,0.0,1,fraction,available
proposed,pending_energy_kwh,11237.116181206238,0.0,1,kWh,available
proposed,admitted_energy_kwh,8211.8969390527,0.0,1,kWh,available
proposed,peak_queued_energy_kwh,997.4441104469365,0.0,1,kWh,available
proposed,mean_queued_energy_kwh,504.20320702558973,0.0,1,kWh,available
proposed,final_queued_energy_kwh,57.9687183060241,0.0,1,kWh,available
proposed,queue_cleared_by_end,0.0,0.0,1,boolean,available
proposed,queue_clearance_period,,0.0,0,period_index,missing
proposed,max_queue_vehicle_conservation_error,2.220446049250313e-16,0.0,1,hours,available
proposed,max_queue_energy_conservation_error_kwh,0.0,0.0,1,kWh,available
proposed,grid_energy_kwh,7406.09408700046,0.0,1,kWh,available
proposed,peak_grid_import_kwh,1884.6950409800031,0.0,1,kWh_per_period,available
proposed,pv_utilization,1.0,0.0,1,fraction,available
proposed,battery_throughput_kwh,1628.2239046838185,0.0,1,kWh,available
proposed,energy_cost_gbp,1862.1711450854855,0.0,1,GBP,available
proposed,mean_access_min,11.11602534872411,0.0,1,min,available
proposed,p95_access_min,12.156571294098796,0.0,1,min,available
proposed,mean_detour_min,2.5469857691278928,0.0,1,min,available
proposed,p95_detour_min,3.6254251481535125,0.0,1,min,available
proposed,outside_cost_estimate,13.538897993555434,0.0,1,GBP,available
proposed,outside_mae,2.961102006444566,0.0,1,GBP,available
proposed,outside_nll,0.6050978685847124,0.0,1,nll,available
proposed,approx_unilateral_gain,,0.0,0,scaled_local_reward,missing
proposed,centralized_reference_difference,,0.0,0,scaled_reward,missing
proposed,centralized_reference_gap,,0.0,0,scaled_reward_deprecated_non_oracle_alias,missing
proposed,exact_oracle_gap,,0.0,0,scaled_reward,missing
