method,metric,mean,std,n,unit,availability
fixed_tariff,return,9.193946356539623,0.0,1,scaled_reward,available
fixed_tariff,profit_gbp,1417.0163171444956,0.0,1,GBP,available
fixed_tariff,welfare_gbp,1417.0163171444958,0.0,1,GBP_weighted_hub_profit,available
fixed_tariff,weighted_hub_profit_welfare,1417.0163171444958,0.0,1,GBP_weighted_hub_profit,available
fixed_tariff,profit,1417.0163171444956,0.0,1,GBP,available
fixed_tariff,served_requests,357.91257180284305,0.0,1,requests,available
fixed_tariff,outside_requests,24.91742819715694,0.0,1,requests,available
fixed_tariff,outside_share,0.065087449252036,0.0,1,fraction,available
fixed_tariff,mean_wait_min,16.60866734098083,0.0,1,min,available
fixed_tariff,p95_wait_min,45.51395771563633,0.0,1,min,available
fixed_tariff,max_wait_min,75.99587058458623,0.0,1,min,available
fixed_tariff,wait_violation_rate,0.1875,0.0,1,fraction_of_hub_periods,available
fixed_tariff,mean_wait_excess_min,10.696215666960082,0.0,1,min,available
fixed_tariff,wait_violation,4.146847345754444,0.0,1,hub_hours,available
fixed_tariff,unmet_energy_kwh,0.0,0.0,1,kWh,available
fixed_tariff,unmet,0.0,0.0,1,kWh,available
fixed_tariff,pending_requests,423.5925151527206,0.0,1,requests,available
fixed_tariff,admitted_requests,357.91257180284305,0.0,1,requests,available
fixed_tariff,admission_ratio,0.8449454581930054,0.0,1,fraction,available
fixed_tariff,minimum_admission_ratio,0.4411898665899669,0.0,1,fraction,available
fixed_tariff,peak_admission_pressure,2.266597843076437,0.0,1,pending_over_capacity,available
fixed_tariff,admitted_full_service_ratio,1.0,0.0,1,fraction,available
fixed_tariff,pending_full_service_ratio,0.8449454581930054,0.0,1,fraction,available
fixed_tariff,pending_energy_kwh,10589.812878818015,0.0,1,kWh,available
fixed_tariff,admitted_energy_kwh,8947.814295071075,0.0,1,kWh,available
fixed_tariff,peak_queued_energy_kwh,649.4582857916657,0.0,1,kWh,available
fixed_tariff,mean_queued_energy_kwh,273.66643062448964,0.0,1,kWh,available
fixed_tariff,final_queued_energy_kwh,0.0,0.0,1,kWh,available
fixed_tariff,queue_cleared_by_end,1.0,0.0,1,boolean,available
fixed_tariff,queue_clearance_period,4.0,0.0,1,period_index,available
fixed_tariff,max_queue_vehicle_conservation_error,1.1102230246251565e-16,0.0,1,hours,available
fixed_tariff,max_queue_energy_conservation_error_kwh,0.0,0.0,1,kWh,available
fixed_tariff,grid_energy_kwh,8190.596270900566,0.0,1,kWh,available
fixed_tariff,peak_grid_import_kwh,2171.672908269664,0.0,1,kWh_per_period,available
fixed_tariff,pv_utilization,1.0,0.0,1,fraction,available
fixed_tariff,battery_throughput_kwh,1579.6390768020883,0.0,1,kWh,available
fixed_tariff,energy_cost_gbp,2072.631257933224,0.0,1,GBP,available
fixed_tariff,mean_access_min,11.32015406681841,0.0,1,min,available
fixed_tariff,p95_access_min,11.70994675300814,0.0,1,min,available
fixed_tariff,mean_detour_min,2.7431371973537626,0.0,1,min,available
fixed_tariff,p95_detour_min,3.184252657340391,0.0,1,min,available
fixed_tariff,outside_cost_estimate,13.5,0.0,1,GBP,available
fixed_tariff,outside_mae,3.0,0.0,1,GBP,available
fixed_tariff,outside_nll,0.3659355966776289,0.0,1,nll,available
fixed_tariff,approx_unilateral_gain,,0.0,0,scaled_local_reward,missing
fixed_tariff,centralized_reference_difference,,0.0,0,scaled_reward,missing
fixed_tariff,centralized_reference_gap,,0.0,0,scaled_reward_deprecated_non_oracle_alias,missing
fixed_tariff,exact_oracle_gap,,0.0,0,scaled_reward,missing
