method,metric,mean,std,mean_plus_minus_std,n,unit,availability,missing_reason
fixed_tariff,return,9.193946356539625,0.0,9.19395 ± 0,3,scaled_reward,available,
fixed_tariff,profit_gbp,1417.0163171444956,0.0,1417.02 ± 0,3,GBP,available,
fixed_tariff,weighted_hub_profit_welfare,1417.0163171444958,0.0,1417.02 ± 0,3,GBP_weighted_hub_profit,available,
fixed_tariff,served_requests,357.91257180284305,0.0,357.913 ± 0,3,requests,available,
fixed_tariff,outside_share,0.065087449252036,0.0,0.0650874 ± 0,3,fraction,available,
fixed_tariff,pending_requests,423.5925151527206,0.0,423.593 ± 0,3,requests,available,
fixed_tariff,admitted_requests,357.91257180284305,0.0,357.913 ± 0,3,requests,available,
fixed_tariff,admission_ratio,0.8449454581930054,0.0,0.844945 ± 0,3,fraction,available,
fixed_tariff,minimum_admission_ratio,0.4411898665899669,0.0,0.44119 ± 0,3,fraction,available,
fixed_tariff,peak_admission_pressure,2.266597843076437,0.0,2.2666 ± 0,3,pending_over_capacity,available,
fixed_tariff,admitted_full_service_ratio,1.0,0.0,1 ± 0,3,fraction,available,
fixed_tariff,pending_full_service_ratio,0.8449454581930054,0.0,0.844945 ± 0,3,fraction,available,
fixed_tariff,mean_wait_min,16.60866734098083,0.0,16.6087 ± 0,3,min,available,
fixed_tariff,p95_wait_min,45.51395771563633,0.0,45.514 ± 0,3,min,available,
fixed_tariff,max_wait_min,75.99587058458623,0.0,75.9959 ± 0,3,min,available,
fixed_tariff,wait_violation_rate,0.1875,0.0,0.1875 ± 0,3,fraction,available,
fixed_tariff,mean_wait_excess_min,10.69621566696008,2.175583928816829e-15,10.6962 ± 2.17558e-15,3,min,available,
fixed_tariff,pending_energy_kwh,10589.812878818017,0.0,10589.8 ± 0,3,kWh,available,
fixed_tariff,admitted_energy_kwh,8947.814295071075,0.0,8947.81 ± 0,3,kWh,available,
fixed_tariff,unmet_energy_kwh,0.0,0.0,0 ± 0,3,kWh,available,
fixed_tariff,peak_queued_energy_kwh,649.4582857916657,0.0,649.458 ± 0,3,kWh,available,
fixed_tariff,mean_queued_energy_kwh,273.66643062448964,0.0,273.666 ± 0,3,kWh,available,
fixed_tariff,final_queued_energy_kwh,0.0,0.0,0 ± 0,3,kWh,available,
fixed_tariff,queue_cleared_by_end,1.0,0.0,1 ± 0,3,boolean,available,
fixed_tariff,queue_clearance_period,4.0,0.0,4 ± 0,3,period_index,available,
fixed_tariff,max_queue_vehicle_conservation_error,1.1102230246251562e-16,1.5096146061105633e-32,1.11022e-16 ± 1.50961e-32,3,hours,available,
fixed_tariff,max_queue_energy_conservation_error_kwh,0.0,0.0,0 ± 0,3,kWh,available,
fixed_tariff,grid_energy_kwh,8190.596270900566,0.0,8190.6 ± 0,3,kWh,available,
fixed_tariff,peak_grid_import_kwh,2171.672908269664,0.0,2171.67 ± 0,3,kWh_per_period,available,
fixed_tariff,pv_utilization,1.0,0.0,1 ± 0,3,fraction,available,
fixed_tariff,battery_throughput_kwh,1579.6390768020883,0.0,1579.64 ± 0,3,kWh,available,
fixed_tariff,energy_cost_gbp,2072.631257933224,0.0,2072.63 ± 0,3,GBP,available,
fixed_tariff,mean_access_min,11.32015406681841,0.0,11.3202 ± 0,3,min,available,
fixed_tariff,p95_access_min,11.70994675300814,0.0,11.7099 ± 0,3,min,available,
fixed_tariff,mean_detour_min,2.7431371973537626,0.0,2.74314 ± 0,3,min,available,
fixed_tariff,p95_detour_min,3.184252657340391,0.0,3.18425 ± 0,3,min,available,
fixed_tariff,outside_mae,3.0,0.0,3 ± 0,3,GBP,available,
fixed_tariff,outside_nll,0.3659355966776289,0.0,0.365936 ± 0,3,nll,available,
fixed_tariff,approx_unilateral_gain,,,NaN,0,scaled_local_reward,missing,no_finite_values
fixed_tariff,centralized_reference_difference,0.0,0.0,0 ± 0,3,scaled_reward,available,
fixed_tariff,exact_oracle_gap,,,NaN,0,scaled_reward,missing,no_finite_values
myopic_local,return,16.468185017342797,0.0,16.4682 ± 0,3,scaled_reward,available,
myopic_local,profit_gbp,1862.482807392201,2.7847474288855413e-13,1862.48 ± 2.78475e-13,3,GBP,available,
myopic_local,weighted_hub_profit_welfare,1862.482807392201,0.0,1862.48 ± 0,3,GBP_weighted_hub_profit,available,
myopic_local,served_requests,342.7661830795292,0.0,342.766 ± 0,3,requests,available,
myopic_local,outside_share,0.10465171726476712,1.6996749443881478e-17,0.104652 ± 1.69967e-17,3,fraction,available,
myopic_local,pending_requests,391.7234948709081,0.0,391.723 ± 0,3,requests,available,
myopic_local,admitted_requests,342.7661830795293,6.961868572213853e-14,342.766 ± 6.96187e-14,3,requests,available,
myopic_local,admission_ratio,0.8750207418436501,0.0,0.875021 ± 0,3,fraction,available,
myopic_local,minimum_admission_ratio,0.5598190783530261,0.0,0.559819 ± 0,3,fraction,available,
myopic_local,peak_admission_pressure,1.7862913906792446,0.0,1.78629 ± 0,3,pending_over_capacity,available,
myopic_local,admitted_full_service_ratio,1.0,0.0,1 ± 0,3,fraction,available,
myopic_local,pending_full_service_ratio,0.8750207418436499,0.0,0.875021 ± 0,3,fraction,available,
myopic_local,mean_wait_min,11.138535427299914,0.0,11.1385 ± 0,3,min,available,
myopic_local,p95_wait_min,34.315477564368265,0.0,34.3155 ± 0,3,min,available,
myopic_local,max_wait_min,47.17748344075468,0.0,47.1775 ± 0,3,min,available,
myopic_local,wait_violation_rate,0.1458333333333333,0.0,0.145833 ± 0,3,fraction,available,
myopic_local,mean_wait_excess_min,4.974257398514407,0.0,4.97426 ± 0,3,min,available,
myopic_local,pending_energy_kwh,9793.0873717727,0.0,9793.09 ± 0,3,kWh,available,
myopic_local,admitted_energy_kwh,8569.15457698823,0.0,8569.15 ± 0,3,kWh,available,
myopic_local,unmet_energy_kwh,0.0,0.0,0 ± 0,3,kWh,available,
myopic_local,peak_queued_energy_kwh,705.8433886277298,0.0,705.843 ± 0,3,kWh,available,
myopic_local,mean_queued_energy_kwh,203.9887991307452,0.0,203.989 ± 0,3,kWh,available,
myopic_local,final_queued_energy_kwh,0.0,0.0,0 ± 0,3,kWh,available,
myopic_local,queue_cleared_by_end,1.0,0.0,1 ± 0,3,boolean,available,
myopic_local,queue_clearance_period,4.0,0.0,4 ± 0,3,period_index,available,
myopic_local,max_queue_vehicle_conservation_error,1.1102230246251562e-16,1.5096146061105633e-32,1.11022e-16 ± 1.50961e-32,3,hours,available,
myopic_local,max_queue_energy_conservation_error_kwh,0.0,0.0,0 ± 0,3,kWh,available,
myopic_local,grid_energy_kwh,7765.938867410924,1.1138989715542165e-12,7765.94 ± 1.1139e-12,3,kWh,available,
myopic_local,peak_grid_import_kwh,2304.977465541834,0.0,2304.98 ± 0,3,kWh_per_period,available,
myopic_local,pv_utilization,1.0,0.0,1 ± 0,3,fraction,available,
myopic_local,battery_throughput_kwh,1625.6367622088867,2.7847474288855413e-13,1625.64 ± 2.78475e-13,3,kWh,available,
myopic_local,energy_cost_gbp,1926.7226327816104,0.0,1926.72 ± 0,3,GBP,available,
myopic_local,mean_access_min,11.6642285968886,0.0,11.6642 ± 0,3,min,available,
myopic_local,p95_access_min,12.437837270655185,2.175583928816829e-15,12.4378 ± 2.17558e-15,3,min,available,
myopic_local,mean_detour_min,3.088916155548011,0.0,3.08892 ± 0,3,min,available,
myopic_local,p95_detour_min,3.855402665972418,0.0,3.8554 ± 0,3,min,available,
myopic_local,outside_mae,3.0,0.0,3 ± 0,3,GBP,available,
myopic_local,outside_nll,0.4468720028442603,0.0,0.446872 ± 0,3,nll,available,
myopic_local,approx_unilateral_gain,,,NaN,0,scaled_local_reward,missing,no_finite_values
