method,axis,level,metric,mean,std,n,unit,availability
proposed,demand_multiplier,0.85,return,8.804373747695658,0.0,1,scaled_reward,available
proposed,demand_multiplier,0.85,profit_gbp,1526.3266162562054,0.0,1,GBP,available
proposed,demand_multiplier,0.85,welfare_gbp,1526.3266162562054,0.0,1,GBP_weighted_hub_profit,available
proposed,demand_multiplier,0.85,weighted_hub_profit_welfare,1526.3266162562054,0.0,1,GBP_weighted_hub_profit,available
proposed,demand_multiplier,0.85,profit,1526.3266162562054,0.0,1,GBP,available
proposed,demand_multiplier,0.85,served_requests,283.0832744418622,0.0,1,requests,available
proposed,demand_multiplier,0.85,outside_requests,42.32222555813779,0.0,1,requests,available
proposed,demand_multiplier,0.85,outside_share,0.1300599576778444,0.0,1,fraction,available
proposed,demand_multiplier,0.85,mean_wait_min,26.51180620094754,0.0,1,min,available
proposed,demand_multiplier,0.85,p95_wait_min,62.46362197767511,0.0,1,min,available
proposed,demand_multiplier,0.85,max_wait_min,142.60259482019126,0.0,1,min,available
proposed,demand_multiplier,0.85,wait_violation_rate,0.14583333333333334,0.0,1,fraction_of_hub_periods,available
proposed,demand_multiplier,0.85,mean_wait_excess_min,19.631370682086725,0.0,1,min,available
proposed,demand_multiplier,0.85,wait_violation,5.382410345721995,0.0,1,hub_hours,available
proposed,demand_multiplier,0.85,unmet_energy_kwh,0.0,0.0,1,kWh,available
proposed,demand_multiplier,0.85,unmet,0.0,0.0,1,kWh,available
proposed,demand_multiplier,0.85,pending_requests,352.48007580080406,0.0,1,requests,available
proposed,demand_multiplier,0.85,admitted_requests,283.0832744418622,0.0,1,requests,available
proposed,demand_multiplier,0.85,admission_ratio,0.8031185132910609,0.0,1,fraction,available
proposed,demand_multiplier,0.85,minimum_admission_ratio,0.29614625643491727,0.0,1,fraction,available
proposed,demand_multiplier,0.85,peak_admission_pressure,3.3767099136698544,0.0,1,pending_over_capacity,available
proposed,demand_multiplier,0.85,admitted_full_service_ratio,1.0,0.0,1,fraction,available
proposed,demand_multiplier,0.85,pending_full_service_ratio,0.8031185132910609,0.0,1,fraction,available
proposed,demand_multiplier,0.85,pending_energy_kwh,8812.001895020101,0.0,1,kWh,available
proposed,demand_multiplier,0.85,admitted_energy_kwh,7077.081861046555,0.0,1,kWh,available
proposed,demand_multiplier,0.85,peak_queued_energy_kwh,606.4722222998247,0.0,1,kWh,available
proposed,demand_multiplier,0.85,mean_queued_energy_kwh,289.153338995591,0.0,1,kWh,available
proposed,demand_multiplier,0.85,final_queued_energy_kwh,0.0,0.0,1,kWh,available
proposed,demand_multiplier,0.85,queue_cleared_by_end,1.0,0.0,1,boolean,available
proposed,demand_multiplier,0.85,queue_clearance_period,5.0,0.0,1,period_index,available
proposed,demand_multiplier,0.85,max_queue_vehicle_conservation_error,1.1102230246251565e-16,0.0,1,hours,available
proposed,demand_multiplier,0.85,max_queue_energy_conservation_error_kwh,0.0,0.0,1,kWh,available
proposed,demand_multiplier,0.85,grid_energy_kwh,6376.942796906313,0.0,1,kWh,available
proposed,demand_multiplier,0.85,peak_grid_import_kwh,1753.6723637803711,0.0,1,kWh_per_period,available
proposed,demand_multiplier,0.85,pv_utilization,1.0,0.0,1,fraction,available
proposed,demand_multiplier,0.85,battery_throughput_kwh,1522.5601167718214,0.0,1,kWh,available
proposed,demand_multiplier,0.85,energy_cost_gbp,1590.6881263547896,0.0,1,GBP,available
proposed,demand_multiplier,0.85,mean_access_min,11.110881606930034,0.0,1,min,available
proposed,demand_multiplier,0.85,p95_access_min,11.903069330427616,0.0,1,min,available
proposed,demand_multiplier,0.85,mean_detour_min,2.5414295061325802,0.0,1,min,available
proposed,demand_multiplier,0.85,p95_detour_min,3.3766510799603524,0.0,1,min,available
proposed,demand_multiplier,0.85,outside_cost_estimate,13.538897993555434,0.0,1,GBP,available
proposed,demand_multiplier,0.85,outside_mae,2.961102006444566,0.0,1,GBP,available
proposed,demand_multiplier,0.85,outside_nll,0.5878407157827038,0.0,1,nll,available
proposed,demand_multiplier,0.85,approx_unilateral_gain,,0.0,0,scaled_local_reward,missing
proposed,demand_multiplier,0.85,centralized_reference_difference,,0.0,0,scaled_reward,missing
proposed,demand_multiplier,0.85,centralized_reference_gap,,0.0,0,scaled_reward_deprecated_non_oracle_alias,missing
proposed,demand_multiplier,0.85,exact_oracle_gap,,0.0,0,scaled_reward,missing
proposed,demand_multiplier,1.0,return,5.560839117587204,0.0,1,scaled_reward,available
proposed,demand_multiplier,1.0,profit_gbp,1770.3637153303566,0.0,1,GBP,available
proposed,demand_multiplier,1.0,welfare_gbp,1770.3637153303566,0.0,1,GBP_weighted_hub_profit,available
proposed,demand_multiplier,1.0,weighted_hub_profit_welfare,1770.3637153303566,0.0,1,GBP_weighted_hub_profit,available
proposed,demand_multiplier,1.0,profit,1770.3637153303566,0.0,1,GBP,available
proposed,demand_multiplier,1.0,served_requests,328.475877562108,0.0,1,requests,available
proposed,demand_multiplier,1.0,outside_requests,52.03537370565108,0.0,1,requests,available
proposed,demand_multiplier,1.0,outside_share,0.13592292585651877,0.0,1,fraction,available
proposed,demand_multiplier,1.0,mean_wait_min,42.62384051590621,0.0,1,min,available
proposed,demand_multiplier,1.0,p95_wait_min,90.5089461191109,0.0,1,min,available
proposed,demand_multiplier,1.0,max_wait_min,197.39043657863357,0.0,1,min,available
proposed,demand_multiplier,1.0,wait_violation_rate,0.22916666666666666,0.0,1,fraction_of_hub_periods,available
proposed,demand_multiplier,1.0,mean_wait_excess_min,34.2947209608329,0.0,1,min,available
proposed,demand_multiplier,1.0,wait_violation,10.11899836309697,0.0,1,hub_hours,available
proposed,demand_multiplier,1.0,unmet_energy_kwh,0.0,0.0,1,kWh,available
proposed,demand_multiplier,1.0,unmet,0.0,0.0,1,kWh,available
proposed,demand_multiplier,1.0,pending_requests,449.4846472482495,0.0,1,requests,available
proposed,demand_multiplier,1.0,admitted_requests,328.47587756210794,0.0,1,requests,available
proposed,demand_multiplier,1.0,admission_ratio,0.7307833083355378,0.0,1,fraction,available
proposed,demand_multiplier,1.0,minimum_admission_ratio,0.23310889401156837,0.0,1,fraction,available
proposed,demand_multiplier,1.0,peak_admission_pressure,4.289840609643893,0.0,1,pending_over_capacity,available
proposed,demand_multiplier,1.0,admitted_full_service_ratio,1.0000000000000002,0.0,1,fraction,available
proposed,demand_multiplier,1.0,pending_full_service_ratio,0.730783308335538,0.0,1,fraction,available
proposed,demand_multiplier,1.0,pending_energy_kwh,11237.116181206238,0.0,1,kWh,available
proposed,demand_multiplier,1.0,admitted_energy_kwh,8211.8969390527,0.0,1,kWh,available
proposed,demand_multiplier,1.0,peak_queued_energy_kwh,997.4441104469365,0.0,1,kWh,available
proposed,demand_multiplier,1.0,mean_queued_energy_kwh,504.20320702558973,0.0,1,kWh,available
proposed,demand_multiplier,1.0,final_queued_energy_kwh,57.9687183060241,0.0,1,kWh,available
proposed,demand_multiplier,1.0,queue_cleared_by_end,0.0,0.0,1,boolean,available
proposed,demand_multiplier,1.0,queue_clearance_period,,0.0,0,period_index,missing
proposed,demand_multiplier,1.0,max_queue_vehicle_conservation_error,2.220446049250313e-16,0.0,1,hours,available
proposed,demand_multiplier,1.0,max_queue_energy_conservation_error_kwh,0.0,0.0,1,kWh,available
proposed,demand_multiplier,1.0,grid_energy_kwh,7406.09408700046,0.0,1,kWh,available
proposed,demand_multiplier,1.0,peak_grid_import_kwh,1884.6950409800031,0.0,1,kWh_per_period,available
proposed,demand_multiplier,1.0,pv_utilization,1.0,0.0,1,fraction,available
proposed,demand_multiplier,1.0,battery_throughput_kwh,1628.2239046838185,0.0,1,kWh,available
proposed,demand_multiplier,1.0,energy_cost_gbp,1862.1711450854855,0.0,1,GBP,available
proposed,demand_multiplier,1.0,mean_access_min,11.11602534872411,0.0,1,min,available
proposed,demand_multiplier,1.0,p95_access_min,12.156571294098796,0.0,1,min,available
proposed,demand_multiplier,1.0,mean_detour_min,2.5469857691278928,0.0,1,min,available
proposed,demand_multiplier,1.0,p95_detour_min,3.6254251481535125,0.0,1,min,available
proposed,demand_multiplier,1.0,outside_cost_estimate,13.538897993555434,0.0,1,GBP,available
proposed,demand_multiplier,1.0,outside_mae,2.961102006444566,0.0,1,GBP,available
proposed,demand_multiplier,1.0,outside_nll,0.6050978685847124,0.0,1,nll,available
proposed,demand_multiplier,1.0,approx_unilateral_gain,,0.0,0,scaled_local_reward,missing
proposed,demand_multiplier,1.0,centralized_reference_difference,,0.0,0,scaled_reward,missing
proposed,demand_multiplier,1.0,centralized_reference_gap,,0.0,0,scaled_reward_deprecated_non_oracle_alias,missing
proposed,demand_multiplier,1.0,exact_oracle_gap,,0.0,0,scaled_reward,missing
proposed,demand_multiplier,1.15,return,10.61753981413862,0.0,1,scaled_reward,available
proposed,demand_multiplier,1.15,profit_gbp,1874.7641113148584,0.0,1,GBP,available
proposed,demand_multiplier,1.15,welfare_gbp,1874.7641113148588,0.0,1,GBP_weighted_hub_profit,available
proposed,demand_multiplier,1.15,weighted_hub_profit_welfare,1874.7641113148588,0.0,1,GBP_weighted_hub_profit,available
proposed,demand_multiplier,1.15,profit,1874.7641113148584,0.0,1,GBP,available
proposed,demand_multiplier,1.15,served_requests,351.9267015533266,0.0,1,requests,available
proposed,demand_multiplier,1.15,outside_requests,88.3277984466734,0.0,1,requests,available
proposed,demand_multiplier,1.15,outside_share,0.20062895086063492,0.0,1,fraction,available
proposed,demand_multiplier,1.15,mean_wait_min,27.012015472191578,0.0,1,min,available
proposed,demand_multiplier,1.15,p95_wait_min,62.36523357065105,0.0,1,min,available
proposed,demand_multiplier,1.15,max_wait_min,109.60850897098229,0.0,1,min,available
proposed,demand_multiplier,1.15,wait_violation_rate,0.25,0.0,1,fraction_of_hub_periods,available
proposed,demand_multiplier,1.15,mean_wait_excess_min,18.859874167707634,0.0,1,min,available
proposed,demand_multiplier,1.15,wait_violation,6.775084415841638,0.0,1,hub_hours,available
proposed,demand_multiplier,1.15,unmet_energy_kwh,0.0,0.0,1,kWh,available
proposed,demand_multiplier,1.15,unmet,0.0,0.0,1,kWh,available
proposed,demand_multiplier,1.15,pending_requests,457.4605726344834,0.0,1,requests,available
proposed,demand_multiplier,1.15,admitted_requests,351.92670155332667,0.0,1,requests,available
proposed,demand_multiplier,1.15,admission_ratio,0.7693049906500257,0.0,1,fraction,available
proposed,demand_multiplier,1.15,minimum_admission_ratio,0.3537558366854412,0.0,1,fraction,available
proposed,demand_multiplier,1.15,peak_admission_pressure,2.826808482849705,0.0,1,pending_over_capacity,available
proposed,demand_multiplier,1.15,admitted_full_service_ratio,0.9999999999999999,0.0,1,fraction,available
proposed,demand_multiplier,1.15,pending_full_service_ratio,0.7693049906500256,0.0,1,fraction,available
proposed,demand_multiplier,1.15,pending_energy_kwh,11436.514315862085,0.0,1,kWh,available
proposed,demand_multiplier,1.15,admitted_energy_kwh,8798.167538833164,0.0,1,kWh,available
proposed,demand_multiplier,1.15,peak_queued_energy_kwh,1081.412569742209,0.0,1,kWh,available
proposed,demand_multiplier,1.15,mean_queued_energy_kwh,439.7244628381534,0.0,1,kWh,available
proposed,demand_multiplier,1.15,final_queued_energy_kwh,0.0,0.0,1,kWh,available
proposed,demand_multiplier,1.15,queue_cleared_by_end,1.0,0.0,1,boolean,available
proposed,demand_multiplier,1.15,queue_clearance_period,5.0,0.0,1,period_index,available
proposed,demand_multiplier,1.15,max_queue_vehicle_conservation_error,2.220446049250313e-16,0.0,1,hours,available
proposed,demand_multiplier,1.15,max_queue_energy_conservation_error_kwh,0.0,0.0,1,kWh,available
proposed,demand_multiplier,1.15,grid_energy_kwh,7933.195050944295,0.0,1,kWh,available
proposed,demand_multiplier,1.15,peak_grid_import_kwh,1998.5380034672141,0.0,1,kWh_per_period,available
proposed,demand_multiplier,1.15,pv_utilization,1.0,0.0,1,fraction,available
proposed,demand_multiplier,1.15,battery_throughput_kwh,1687.3935405204493,0.0,1,kWh,available
proposed,demand_multiplier,1.15,energy_cost_gbp,2011.2988666745714,0.0,1,GBP,available
proposed,demand_multiplier,1.15,mean_access_min,11.16649701839455,0.0,1,min,available
proposed,demand_multiplier,1.15,p95_access_min,12.158428490697311,0.0,1,min,available
proposed,demand_multiplier,1.15,mean_detour_min,2.604902546114253,0.0,1,min,available
proposed,demand_multiplier,1.15,p95_detour_min,3.6274265693840086,0.0,1,min,available
proposed,demand_multiplier,1.15,outside_cost_estimate,13.538897993555434,0.0,1,GBP,available
